threaded mqtt broker listening on 0.0.0.0:1883
1779109765.654300 accept ('127.0.0.1', 52178)
1779109977.520626 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110009.403344 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110009.404112 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110035.138897 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110035.139722 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110050.840771 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110050.841548 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110062.586006 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110062.586857 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110066.662276 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110066.663074 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110100.937609 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110100.938426 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110139.055879 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110139.056652 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110155.417133 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110155.418019 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110158.111395 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110158.112172 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110160.894576 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110160.895415 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110164.740445 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110164.740950 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110167.424056 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110167.424897 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110172.171328 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110172.172156 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110174.964729 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110174.965533 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110179.871109 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110179.871371 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110184.608336 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110184.609226 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110187.041961 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110187.042764 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110191.848625 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110191.849466 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110194.322544 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110194.323318 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110199.519312 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110199.520141 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110207.500760 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110207.501535 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110209.843761 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110209.844564 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110215.701800 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110215.702595 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110218.154635 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110218.155484 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110227.307343 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110227.308190 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110235.067477 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110235.068328 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110240.755782 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110240.756559 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110243.559453 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110243.560253 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110247.855604 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110247.856399 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1779110249.937884 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131402 forwarded=1
1779110249.938723 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
