threaded mqtt broker listening on 0.0.0.0:1883
1778881628.808361 accept ('127.0.0.1', 49144)
1778882138.499934 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882138.500766 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882147.863997 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882147.864858 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882154.252313 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882154.253156 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882161.883749 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882161.884531 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882164.296410 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882164.297241 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882167.551294 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131386 forwarded=1
1778882167.552058 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=234 forwarded=1
1778882181.429773 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882181.430618 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882190.112228 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882190.113136 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882192.194660 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882192.195452 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882194.027659 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882194.028425 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882196.079908 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882196.080750 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882199.775642 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882199.776426 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882213.112321 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882213.113155 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882224.257429 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882224.258201 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882226.379957 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882226.380813 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882229.544437 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882229.545204 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882231.486407 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882231.487249 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882233.289364 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882233.290143 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882236.113021 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882236.113829 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882241.060951 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882241.061719 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
1778882242.882807 publish topic=ipi/sunny-run-1/latency/av-1/request bytes=131388 forwarded=1
1778882242.883655 publish topic=ipi/sunny-run-1/latency/av-1/ack bytes=235 forwarded=1
